
service,budget_mensuel,budget_annuel,depense_actuelle,seuil_alerte_orange,seuil_alerte_rouge,mois,anomalie
Cardiologie,80000,960000,65000,80,95,janvier,
Cardiologie,80000,960000,90000,80,95,juin,Depassement seuil orange
Cardiologie,80000,960000,100000,80,95,novembre,Depassement seuil rouge
Chirurgie,100000,1200000,90000,80,95,janvier,
Chirurgie,100000,1200000,120000,80,95,mai,Depassement seuil rouge
Service1,600,7200,500,80,95,mars,
Service1,600,7200,700,80,95,août,Depassement seuil orange
srv,1000,12000,800,80,95,janvier,
srv,1000,12000,1200,80,95,septembre,Depassement seuil rouge
Depannage,100000,1200000,95000,80,95,janvier,
Depannage,100000,1200000,110000,80,95,octobre,Depassement seuil rouge
Pédiatrie,50000,600000,40000,80,95,janvier,
Pédiatrie,50000,600000,60000,80,95,juin,Depassement seuil orange
Urgences,120000,1440000,100000,80,95,janvier,
Urgences,120000,1440000,130000,80,95,novembre,Depassement seuil orange
Gynécologie,70000,840000,65000,80,95,janvier,
Gynécologie,70000,840000,90000,80,95,décembre,Depassement seuil rouge
Cardiologie,80000,960000,0,80,95,août,Pas d'activité
Chirurgie,100000,1200000,0,80,95,août,Pas d'activité
Service1,600,7200,0,80,95,août,Pas d'activité
srv,1000,12000,0,80,95,août,Pas d'activité
Depannage,100000,1200000,0,80,95,août,Pas d'activité
Pédiatrie,50000,600000,0,80,95,août,Pas d'activité
Urgences,120000,1440000,0,80,95,août,Pas d'activité
Gynécologie,70000,840000,0,80,95,août,Pas d'activité
Cardiologie,80000,960000,80000,80,95,septembre,Seuil orange atteint
Chirurgie,100000,1200000,95000,80,95,septembre,Seuil orange atteint
Service1,600,7200,480,80,95,septembre,Seuil orange atteint
srv,1000,12000,900,80,95,septembre,Seuil orange atteint
Depannage,100000,1200000,80000,80,95,septembre,Seuil orange atteint
Pédiatrie,50000,600000,40000,80,95,septembre,Seuil orange atteint
Urgences,120000,1440000,100000,80,95,septembre,Seuil orange atteint
Gynécologie,70000,840000,65000,80,95,septembre,Seuil orange atteint
Cardiologie,80000,960000,95000,80,95,octobre,Seuil rouge atteint
Chirurgie,100000,1200000,110000,80,95,octobre,Seuil rouge atteint
Service1,600,7200,600,80,95,octobre,Seuil rouge atteint
srv,1000,12000,1100,80,95,octobre,Seuil rouge atteint
Depannage,100000,1200000,95000,80,95,octobre,Seuil rouge atteint
Pédiatrie,50000,600000,60000,80,95,octobre,Seuil rouge atteint
Urgences,120000,1440000,130000,80,95,octobre,Seuil rouge atteint
Gynécologie,70000,840000,90000,80,95,octobre,Seuil rouge atteint
